audio,contain speech,female speak,male speak,female transcript,male transcript,annotate,useful annotates,female chunk number,aligned female chunk number,female align percentage,male chunk number,aligned male chunk number,male align percentage,Arousal,Valence,Arousal_binary,Valence_binary,check annotation,check female transcript,check male transcript,check date,romantic interaction,romantic interaction & both speak
P_010\Day_0\Hour_19\02-16-2020 19_44_00,yes,yes,yes,1,1,1,3,7,3,0.428571429,8,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_010\Day_0\Hour_21\02-16-2020 21_12_50,yes,yes,yes,1,1,1,0,5,0,0,6,0,0,85,86,1,1,1,1,1,1,1,1
P_010\Day_0\Hour_9\02-16-2020 09_44_00,yes,yes,yes,1,1,1,68,19,17,0.894736842,13,10,0.769230769,86,92,1,1,1,1,1,1,0,-1
P_010\Day_1\Hour_18\02-10-2020 18_00_45,yes,yes,yes,1,1,1,0,7,0,0,7,0,0,50,77,0,1,1,1,1,1,1,1
P_010\Day_1\Hour_19\02-10-2020 19_15_13,yes,no,yes,0,1,1,1,-1,-1,-1,6,0,0,50,80,0,1,1,1,1,1,0,-1
P_010\Day_1\Hour_20\02-10-2020 20_13_31,yes,yes,yes,1,1,1,1,4,0,0,8,2,0.25,50,81,0,1,1,1,1,1,0,-1
P_010\Day_1\Hour_21\02-10-2020 21_02_56,yes,yes,yes,1,1,1,9,5,1,0.2,8,4,0.5,50,88,0,1,1,1,1,1,0,-1
P_010\Day_1\Hour_8\02-10-2020 08_03_40,yes,yes,yes,1,1,1,22,9,8,0.888888889,10,8,0.8,71,50,1,0,1,1,1,1,1,1
P_010\Day_1\Hour_9\02-10-2020 09_12_14,yes,yes,yes,1,1,1,69,17,16,0.941176471,19,15,0.789473684,50,76,0,1,1,1,1,1,1,1
P_010\Day_2\Hour_18\02-11-2020 18_07_49,yes,yes,yes,1,1,1,5,6,1,0.166666667,5,1,0.2,90,89,1,1,1,1,1,1,1,1
P_010\Day_2\Hour_19\02-11-2020 19_14_38,yes,yes,yes,1,1,1,3,5,1,0.2,5,1,0.2,79,69,1,1,1,1,1,1,1,1
P_010\Day_2\Hour_20\02-11-2020 20_05_15,yes,no,yes,0,1,1,0,-1,-1,-1,2,0,0,50,93,0,1,1,1,1,1,0,-1
P_010\Day_2\Hour_21\02-11-2020 21_03_41,yes,no,yes,0,1,1,0,-1,-1,-1,6,0,0,35,74,0,1,1,1,1,1,0,-1
P_010\Day_2\Hour_8\02-11-2020 08_01_08,yes,yes,yes,1,1,1,26,13,11,0.846153846,11,9,0.818181818,60,50,1,0,1,1,1,1,1,1
P_010\Day_2\Hour_9\02-11-2020 09_33_23,yes,yes,yes,1,1,1,12,8,4,0.5,7,4,0.571428571,50,100,0,1,1,1,1,1,1,1
P_010\Day_3\Hour_18\02-12-2020 18_01_12,yes,yes,yes,1,1,1,32,8,6,0.75,13,10,0.769230769,72,83,1,1,1,1,1,1,1,1
P_010\Day_3\Hour_19\02-12-2020 19_44_00,yes,yes,yes,1,1,1,0,7,0,0,7,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_010\Day_3\Hour_20\02-12-2020 20_44_00,yes,yes,no,1,0,1,19,19,18,0.947368421,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_010\Day_3\Hour_21\02-12-2020 21_44_00,yes,yes,yes,1,1,1,3,8,3,0.375,9,1,0.111111111,-1,-1,-1,-1,1,1,1,1,1,1
P_010\Day_3\Hour_8\02-12-2020 08_03_43,yes,yes,yes,1,1,1,17,10,7,0.7,9,6,0.666666667,81,62,1,1,1,1,1,1,1,1
P_010\Day_3\Hour_9\02-12-2020 09_19_05,yes,yes,yes,1,1,1,12,7,4,0.571428571,13,6,0.461538462,94,83,1,1,1,1,1,1,1,1
P_010\Day_4\Hour_18\02-13-2020 18_34_41,yes,yes,yes,1,1,1,10,8,4,0.5,6,3,0.5,73,96,1,1,1,1,1,1,1,1
P_010\Day_6\Hour_16\02-15-2020 16_59_13,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_010\Day_6\Hour_18\02-15-2020 18_01_15,yes,yes,yes,1,1,1,12,8,4,0.5,7,3,0.428571429,85,100,1,1,1,1,1,1,1,1
P_010\Day_6\Hour_19\02-15-2020 19_17_09,yes,no,no,0,0,1,1,-1,-1,-1,-1,-1,-1,98,94,1,1,1,1,1,1,0,-1
P_010\Day_6\Hour_20\02-15-2020 20_12_02,yes,yes,yes,1,1,1,6,6,3,0.5,5,1,0.2,100,100,1,1,1,1,1,1,1,1
P_010\Day_6\Hour_21\02-15-2020 21_03_19,yes,yes,yes,1,1,1,4,6,1,0.166666667,6,3,0.5,100,100,1,1,1,1,1,1,1,1
P_011\Day_1\Hour_19\03-02-2020 19_39_57,yes,yes,yes,1,1,1,17,14,4,0.285714286,18,4,0.222222222,-1,-1,-1,-1,1,1,1,1,0,-1
P_011\Day_1\Hour_20\03-02-2020 20_35_46,yes,yes,yes,1,1,1,5,12,0,0,17,5,0.294117647,-1,-1,-1,-1,1,1,1,1,0,-1
P_011\Day_1\Hour_9\03-02-2020 09_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_011\Day_2\Hour_19\03-03-2020 19_24_32,yes,yes,yes,1,1,1,2,19,0,0,18,1,0.055555556,85,82,1,1,1,1,1,1,0,-1
P_011\Day_2\Hour_20\03-03-2020 20_32_19,yes,yes,yes,1,1,1,23,18,2,0.111111111,19,10,0.526315789,100,100,1,1,1,1,1,1,0,-1
P_011\Day_3\Hour_19\03-04-2020 19_00_18,yes,yes,yes,1,1,1,9,7,4,0.571428571,6,3,0.5,70,94,1,1,1,1,1,1,1,1
P_011\Day_3\Hour_20\03-04-2020 20_44_01,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,76,93,1,1,1,1,1,1,0,-1
P_011\Day_3\Hour_8\03-04-2020 08_44_00,yes,yes,no,1,0,1,9,15,7,0.466666667,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_011\Day_3\Hour_9\03-04-2020 09_44_00,yes,yes,no,1,0,1,8,11,5,0.454545455,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0
P_011\Day_4\Hour_8\03-05-2020 08_09_38,yes,yes,yes,1,1,1,12,7,3,0.428571429,7,2,0.285714286,100,100,1,1,1,1,1,1,1,1
P_011\Day_4\Hour_9\03-05-2020 09_44_00,yes,yes,yes,1,1,1,27,7,3,0.428571429,19,18,0.947368421,90,95,1,1,1,1,1,1,1,1
P_012\Day_4\Hour_10\08-12-2021 10_44_10,no,no,no,0,0,0,-1,-1,-1,-1,-1,-1,-1,100,99,1,1,1,1,1,1,0,-1
P_012\Day_4\Hour_18\08-12-2021 18_21_08,yes,yes,yes,1,1,0,-1,16,-1,-1,11,-1,-1,98,100,1,1,0,1,1,1,0,-1
P_012\Day_4\Hour_19\08-12-2021 19_44_10,yes,yes,no,1,0,0,-1,5,-1,-1,-1,-1,-1,88,90,1,1,0,1,1,1,1,0
P_012\Day_4\Hour_20\08-12-2021 20_41_08,yes,yes,yes,1,1,0,-1,14,-1,-1,17,-1,-1,68,87,1,1,0,1,1,1,1,1
P_012\Day_4\Hour_9\08-12-2021 09_09_53,yes,yes,yes,1,1,0,-1,10,-1,-1,14,-1,-1,90,87,1,1,0,1,1,1,1,1
P_012\Day_3\Hour_10\08-11-2021 10_44_07,yes,no,yes,0,1,1,39,-1,-1,-1,7,2,0.285714286,100,87,1,1,1,1,1,1,0,-1
P_012\Day_3\Hour_18\08-11-2021 18_13_45,yes,yes,yes,1,1,1,14,9,7,0.777777778,11,0,0,87,84,1,1,1,1,1,1,1,1
P_012\Day_3\Hour_19\08-11-2021 19_10_33,yes,yes,yes,1,1,1,71,17,16,0.941176471,15,7,0.466666667,86,83,1,1,1,1,1,1,0,-1
P_012\Day_3\Hour_20\08-11-2021 20_44_08,yes,no,yes,0,1,1,2,-1,-1,-1,10,1,0.1,83,83,1,1,1,1,1,1,0,-1
P_012\Day_3\Hour_8\08-11-2021 08_44_06,yes,yes,yes,1,1,1,7,9,3,0.333333333,13,3,0.230769231,38,81,0,1,1,1,1,1,1,1
P_012\Day_3\Hour_9\08-11-2021 09_44_06,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,85,86,1,1,1,1,1,1,0,-1
P_012\Day_6\Hour_11\08-14-2021 11_44_15,yes,yes,yes,1,1,0,-1,16,-1,-1,20,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1
P_012\Day_6\Hour_12\08-14-2021 12_44_15,yes,no,no,0,0,0,-1,-1,-1,-1,-1,-1,-1,86,89,1,1,1,1,1,1,0,-1
P_012\Day_6\Hour_14\08-14-2021 14_44_15,yes,yes,yes,1,1,0,-1,15,-1,-1,19,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1
P_012\Day_6\Hour_15\08-14-2021 15_44_15,yes,yes,yes,1,1,0,-1,12,-1,-1,15,-1,-1,95,97,1,1,0,1,1,1,1,1
P_012\Day_6\Hour_17\08-14-2021 17_44_16,yes,yes,yes,1,1,0,-1,6,-1,-1,9,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1
P_012\Day_6\Hour_18\08-14-2021 18_44_16,yes,yes,yes,1,1,0,-1,16,-1,-1,17,-1,-1,78,76,1,1,0,1,1,1,1,1
P_012\Day_6\Hour_19\08-14-2021 19_44_16,yes,yes,yes,1,1,0,-1,9,-1,-1,6,-1,-1,41,88,0,1,0,1,1,1,1,1
P_012\Day_6\Hour_20\08-14-2021 20_44_16,yes,yes,yes,1,1,0,-1,8,-1,-1,9,-1,-1,87,94,1,1,0,1,1,1,1,1
P_012\Day_6\Hour_8\08-14-2021 08_44_15,yes,no,no,0,0,0,-1,-1,-1,-1,-1,-1,-1,86,86,1,1,1,1,1,1,0,-1
P_012\Day_6\Hour_9\08-14-2021 09_44_15,no,no,no,0,0,0,-1,-1,-1,-1,-1,-1,-1,98,100,1,1,1,1,1,1,0,-1
P_012\Day_5\Hour_10\08-13-2021 10_44_13,yes,yes,yes,1,1,0,-1,10,-1,-1,9,-1,-1,90,89,1,1,0,1,1,1,1,1
P_012\Day_5\Hour_18\08-13-2021 18_44_14,yes,yes,yes,1,1,0,-1,9,-1,-1,11,-1,-1,92,89,1,1,0,1,1,1,1,1
P_012\Day_5\Hour_20\08-13-2021 20_44_14,yes,yes,yes,1,1,0,-1,5,-1,-1,6,-1,-1,97,100,1,1,0,1,1,1,1,1
P_012\Day_5\Hour_8\08-13-2021 08_44_12,yes,yes,yes,1,1,0,-1,8,-1,-1,10,-1,-1,76,81,1,1,0,1,1,1,1,1
P_012\Day_5\Hour_9\08-13-2021 09_44_12,yes,yes,yes,1,1,0,-1,13,-1,-1,15,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1
P_012\Day_2\Hour_10\08-10-2021 10_01_00,yes,yes,yes,1,1,1,7,11,2,0.181818182,11,2,0.181818182,83,79,1,1,1,1,1,1,1,1
P_012\Day_2\Hour_18\08-10-2021 18_25_48,yes,yes,yes,1,1,1,36,13,11,0.846153846,12,6,0.5,30,84,0,1,1,1,1,1,1,1
P_012\Day_2\Hour_19\08-10-2021 19_33_58,yes,yes,yes,1,1,1,9,9,4,0.444444444,12,2,0.166666667,34,85,0,1,1,1,1,1,1,1
P_012\Day_2\Hour_20\08-10-2021 20_44_05,yes,yes,yes,1,1,1,12,7,3,0.428571429,9,4,0.444444444,70,83,1,1,1,1,1,1,1,1
P_012\Day_2\Hour_8\08-10-2021 08_44_04,yes,yes,yes,1,1,1,29,13,7,0.538461538,18,6,0.333333333,79,28,1,0,1,1,1,1,0,-1
P_012\Day_2\Hour_9\08-10-2021 09_00_17,yes,yes,yes,1,1,1,6,20,20,1,10,0,0,70,74,1,1,1,1,1,1,0,-1
P_012\Day_1\Hour_10\08-09-2021 10_44_03,yes,no,yes,0,1,1,1,-1,-1,-1,5,0,0,83,84,1,1,1,1,1,1,0,-1
P_012\Day_1\Hour_18\08-09-2021 18_17_08,yes,yes,yes,1,1,1,3,10,1,0.1,11,0,0,73,73,1,1,1,1,1,1,1,1
P_012\Day_1\Hour_19\08-09-2021 19_15_20,yes,yes,yes,1,1,1,52,11,9,0.818181818,14,14,1,77,73,1,1,1,1,1,1,1,1
P_012\Day_1\Hour_20\08-09-2021 20_31_22,yes,yes,yes,1,1,1,33,15,15,1,13,5,0.384615385,41,74,0,1,1,1,1,1,1,1
P_012\Day_1\Hour_8\08-09-2021 08_44_02,yes,yes,yes,1,1,1,5,6,3,0.5,7,0,0,38,81,0,1,1,1,1,1,1,1
P_012\Day_1\Hour_9\08-09-2021 09_21_24,yes,yes,yes,1,1,1,46,18,18,1,18,5,0.277777778,74,77,1,1,1,1,1,1,0,-1
P_012\Day_0\Hour_10\08-15-2021 10_44_17,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_012\Day_0\Hour_11\08-15-2021 11_44_17,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_012\Day_0\Hour_12\08-15-2021 12_44_17,yes,yes,yes,1,1,1,1,9,0,0,11,1,0.090909091,-1,-1,-1,-1,1,1,1,1,0,-1
P_012\Day_0\Hour_13\08-15-2021 13_44_17,yes,no,yes,0,1,1,10,-1,-1,-1,14,0,0,-1,-1,-1,-1,1,1,1,1,0,-1
P_012\Day_0\Hour_14\08-15-2021 14_44_17,yes,yes,yes,1,1,1,34,11,11,1,12,4,0.333333333,-1,-1,-1,-1,1,1,1,1,0,-1
P_012\Day_0\Hour_15\08-15-2021 15_44_17,yes,no,yes,0,1,1,5,-1,-1,-1,8,0,0,-1,-1,-1,-1,1,1,1,1,0,-1
P_012\Day_0\Hour_16\08-15-2021 16_44_17,yes,yes,yes,1,1,1,58,20,19,0.95,17,12,0.705882353,-1,-1,-1,-1,1,1,1,1,0,-1
P_012\Day_0\Hour_17\08-15-2021 17_44_17,yes,yes,yes,1,1,1,17,7,4,0.571428571,9,1,0.111111111,-1,-1,-1,-1,1,1,1,1,1,1
P_012\Day_0\Hour_18\08-15-2021 18_44_17,yes,yes,yes,1,1,1,38,15,10,0.666666667,14,7,0.5,-1,-1,-1,-1,1,1,1,1,1,1
P_012\Day_0\Hour_19\08-15-2021 19_44_18,yes,yes,yes,1,1,1,3,5,2,0.4,5,1,0.2,-1,-1,-1,-1,1,1,1,1,1,1
P_012\Day_0\Hour_20\08-15-2021 20_44_18,yes,yes,yes,1,1,1,7,7,3,0.428571429,5,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_012\Day_0\Hour_8\08-15-2021 08_44_17,yes,yes,yes,1,1,1,27,19,9,0.473684211,20,3,0.15,-1,-1,-1,-1,1,1,1,1,1,1
P_012\Day_0\Hour_9\08-15-2021 09_44_17,yes,yes,yes,1,1,1,11,13,2,0.153846154,17,6,0.352941176,-1,-1,-1,-1,1,1,1,1,0,-1
P_013\Day_4\Hour_19\10-21-2021 19_44_00,yes,yes,no,1,0,1,27,14,11,0.785714286,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_013\Day_4\Hour_20\10-21-2021 20_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_013\Day_4\Hour_21\10-21-2021 21_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,66,71,1,1,1,1,1,1,0,-1
P_013\Day_4\Hour_6\10-21-2021 06_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_013\Day_4\Hour_7\10-21-2021 07_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_013\Day_3\Hour_19\10-20-2021 19_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_013\Day_3\Hour_20\10-20-2021 20_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_013\Day_3\Hour_21\10-20-2021 21_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,81,82,1,1,1,1,1,1,0,-1
P_013\Day_3\Hour_6\10-20-2021 06_44_01,no,no,no,0,0,1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_013\Day_3\Hour_7\10-20-2021 07_44_01,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,24,67,0,1,1,1,1,1,0,-1
P_013\Day_6\Hour_11\10-23-2021 11_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_013\Day_6\Hour_12\10-23-2021 12_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_013\Day_6\Hour_13\10-23-2021 13_44_01,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_013\Day_6\Hour_14\10-23-2021 14_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_013\Day_6\Hour_15\10-23-2021 15_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_013\Day_6\Hour_16\10-23-2021 16_44_01,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_013\Day_6\Hour_8\10-23-2021 08_44_00,yes,yes,yes,1,1,1,0,5,0,0,5,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_013\Day_6\Hour_9\10-23-2021 09_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_013\Day_5\Hour_19\10-22-2021 19_44_00,yes,yes,yes,1,1,1,3,14,3,0.214285714,8,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_013\Day_5\Hour_20\10-22-2021 20_40_36,yes,yes,yes,1,1,1,12,15,8,0.533333333,11,1,0.090909091,-1,-1,-1,-1,1,1,1,1,0,-1
P_013\Day_5\Hour_21\10-22-2021 21_44_01,yes,yes,yes,1,1,1,23,18,18,1,17,2,0.117647059,-1,-1,-1,-1,1,1,1,1,0,-1
P_013\Day_5\Hour_6\10-22-2021 06_44_01,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,77,76,1,1,1,1,1,1,0,-1
P_013\Day_5\Hour_7\10-22-2021 07_30_19,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,91,73,1,1,1,1,1,1,0,-1
P_013\Day_2\Hour_19\10-19-2021 19_44_00,yes,no,no,0,0,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_013\Day_2\Hour_20\10-19-2021 20_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,70,71,1,1,1,1,1,1,0,-1
P_013\Day_2\Hour_21\10-19-2021 21_12_35,yes,yes,yes,1,1,1,72,19,19,1,17,15,0.882352941,67,77,1,1,1,1,1,1,1,1
P_013\Day_2\Hour_6\10-19-2021 06_09_42,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,23,27,0,0,1,1,1,1,0,-1
P_013\Day_2\Hour_7\10-19-2021 07_44_01,yes,no,no,0,0,1,2,-1,-1,-1,-1,-1,-1,22,50,0,0,1,1,1,1,0,-1
P_013\Day_1\Hour_19\10-18-2021 19_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,0,21,0,0,1,1,1,1,0,-1
P_013\Day_1\Hour_20\10-18-2021 20_44_00,yes,yes,yes,1,1,1,11,9,4,0.444444444,7,1,0.142857143,-1,-1,-1,-1,1,1,1,1,1,1
P_013\Day_1\Hour_21\10-18-2021 21_44_00,yes,yes,yes,1,1,1,28,10,8,0.8,7,5,0.714285714,-1,-1,-1,-1,1,1,1,1,1,1
P_013\Day_1\Hour_6\10-18-2021 06_44_01,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_013\Day_1\Hour_7\10-18-2021 07_44_01,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,21,50,0,0,1,1,1,1,0,-1
P_013\Day_0\Hour_11\10-24-2021 11_44_00,yes,yes,no,1,0,1,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_013\Day_0\Hour_12\10-24-2021 12_44_00,yes,yes,yes,1,1,1,19,8,6,0.75,10,3,0.3,-1,-1,-1,-1,1,1,1,1,1,1
P_013\Day_0\Hour_13\10-24-2021 13_44_00,yes,yes,yes,1,1,1,6,8,2,0.25,5,1,0.2,-1,-1,-1,-1,1,1,1,1,1,1
P_013\Day_0\Hour_14\10-24-2021 14_44_00,yes,yes,no,1,0,1,8,7,2,0.285714286,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_013\Day_0\Hour_15\10-24-2021 15_44_00,yes,yes,yes,1,1,1,15,9,6,0.666666667,8,6,0.75,-1,-1,-1,-1,1,1,1,1,1,1
P_013\Day_0\Hour_16\10-24-2021 16_44_00,yes,yes,yes,1,1,1,18,8,6,0.75,7,5,0.714285714,-1,-1,-1,-1,1,1,1,1,1,1
P_013\Day_0\Hour_17\10-24-2021 17_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_013\Day_0\Hour_18\10-24-2021 18_44_00,yes,yes,yes,1,1,1,9,7,4,0.571428571,5,2,0.4,40,78,0,1,1,1,1,1,1,1
P_013\Day_0\Hour_19\10-24-2021 19_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,29,74,0,1,1,1,1,1,0,-1
P_013\Day_0\Hour_20\10-24-2021 20_11_34,yes,yes,yes,1,1,1,16,7,7,1,6,2,0.333333333,43,73,0,1,1,1,1,1,1,1
Z_001\Day_0\Hour_10\07-21-2019 10_44_02,yes,yes,yes,1,1,1,9,10,4,0.4,1,0,0,-1,-1,-1,-1,1,1,1,1,1,1
Z_001\Day_0\Hour_11\07-21-2019 11_44_01,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
Z_001\Day_0\Hour_12\07-21-2019 12_44_01,yes,yes,yes,1,1,1,9,3,2,0.666666667,5,3,0.6,-1,-1,-1,-1,1,1,1,1,1,1
Z_001\Day_0\Hour_13\07-21-2019 13_44_01,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
Z_001\Day_0\Hour_14\07-21-2019 14_44_01,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
Z_001\Day_0\Hour_15\07-21-2019 15_44_01,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
Z_001\Day_0\Hour_16\07-21-2019 16_44_01,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
Z_001\Day_0\Hour_17\07-21-2019 17_44_01,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
Z_001\Day_0\Hour_18\07-21-2019 18_44_01,yes,yes,yes,1,1,1,9,3,2,0.666666667,5,3,0.6,-1,-1,-1,-1,1,1,1,1,1,1
Z_001\Day_0\Hour_19\07-21-2019 19_44_01,yes,yes,yes,1,1,1,13,4,4,1,4,4,1,-1,-1,-1,-1,1,1,1,1,1,1
Z_001\Day_0\Hour_20\07-21-2019 20_44_01,yes,no,no,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
Z_001\Day_0\Hour_21\07-21-2019 21_44_01,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0
Z_001\Day_0\Hour_9\07-21-2019 09_44_02,yes,yes,yes,1,1,1,3,2,1,0.5,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1
Z_001\Day_1\Hour_10\07-22-2019 10_44_03,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
Z_001\Day_1\Hour_16\07-08-2019 16_52_12,yes,yes,yes,1,1,1,8,10,1,0.1,17,4,0.235294118,96,83,1,1,1,1,1,0,1,1
Z_001\Day_1\Hour_9\07-22-2019 09_44_03,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
Z_001\Day_2\Hour_10\07-16-2019 10_44_01,yes,no,yes,0,1,1,6,-1,-1,-1,14,3,0.214285714,-1,-1,-1,-1,1,1,1,1,0,-1
Z_001\Day_2\Hour_16\07-16-2019 16_44_00,yes,yes,yes,1,1,1,3,2,2,1,4,1,0.25,-1,-1,-1,-1,1,1,1,1,1,1
Z_001\Day_2\Hour_17\07-16-2019 17_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,92,98,1,1,1,1,1,1,0,-1
Z_001\Day_2\Hour_19\07-16-2019 19_44_00,yes,yes,yes,1,1,1,9,5,2,0.4,4,2,0.5,-1,-1,-1,-1,1,1,1,1,1,1
Z_001\Day_2\Hour_20\07-16-2019 20_44_00,yes,yes,yes,1,1,1,1,1,0,0,2,1,0.5,-1,-1,-1,-1,1,1,1,1,1,1
Z_001\Day_2\Hour_9\07-16-2019 09_00_25,yes,yes,yes,1,1,1,3,5,1,0.2,7,1,0.142857143,92,96,1,1,1,1,1,1,1,1
Z_001\Day_3\Hour_10\07-17-2019 10_44_00,yes,yes,yes,1,1,1,7,8,2,0.25,3,0,0,-1,-1,-1,-1,1,1,1,1,1,1
Z_001\Day_3\Hour_16\07-17-2019 16_44_00,yes,yes,yes,1,1,1,10,11,1,0.090909091,16,8,0.5,-1,-1,-1,-1,1,1,1,1,1,1
Z_001\Day_3\Hour_17\07-17-2019 17_44_00,no,no,no,0,0,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
Z_001\Day_3\Hour_18\07-17-2019 18_44_00,no,no,no,0,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
Z_001\Day_3\Hour_19\07-17-2019 19_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
Z_001\Day_3\Hour_20\07-17-2019 20_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
Z_001\Day_3\Hour_21\07-17-2019 21_44_01,yes,yes,yes,1,1,1,2,4,2,0.5,3,0,0,-1,-1,-1,-1,1,1,1,1,1,1
Z_001\Day_3\Hour_9\07-17-2019 09_44_00,yes,yes,yes,1,1,1,4,9,1,0.111111111,8,2,0.25,-1,-1,-1,-1,1,1,1,1,1,1
Z_001\Day_4\Hour_10\07-18-2019 10_44_00,yes,yes,yes,1,1,1,0,3,0,0,3,0,0,-1,-1,-1,-1,1,1,1,1,1,1
Z_001\Day_4\Hour_16\07-18-2019 16_44_00,yes,yes,yes,1,1,1,9,4,2,0.5,7,3,0.428571429,-1,-1,-1,-1,1,1,1,1,1,1
